CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Date,Time,PoluutionLevel
0.218,0.666666667,0.126156434,0.187,0.472448058,0.112,0.393589266,0.332,0.60972973,0.502576298,0.305,0.551,0.34,3/10/2004,18.00.00,0
0.168,0.633333333,0.094196804,0.148,0.43134598,0.07,0.437569884,0.271,0.561801802,0.385255648,0.298,0.538,0.325,3/10/2004,19.00.00,0
0.185,0.687254902,0.074011775,0.141,0.424119241,0.089,0.424897503,0.335,0.56036036,0.42568371,0.267,0.609,0.336,3/10/2004,20.00.00,0
0.185,0.674509804,0.067283431,0.144,0.428184282,0.116,0.407007082,0.359,0.570810811,0.476813317,0.247,0.676,0.353,3/10/2004,21.00.00,0
0.134,0.623529412,0.042893188,0.102,0.377597109,0.089,0.449124115,0.341,0.536936937,0.439952438,0.251,0.672,0.354,3/10/2004,22.00.00,0
0.101,0.586764706,0.03195963,0.074,0.338753388,0.06,0.498322773,0.282,0.501981982,0.376139516,0.251,0.667,0.352,3/10/2004,23.00.00,0
0.101,0.580882353,0.02607233,0.057,0.311653117,0.042,0.544912411,0.226,0.48036036,0.29052715,0.253,0.64,0.341,3/11/2004,00.00.00,0
0.084,0.556862745,0.02607233,0.052,0.303523035,0.042,0.541557958,0.224,0.48036036,0.28933809,0.24,0.676,0.345,3/11/2004,01.00.00,0
0.076,0.53627451,0.020185029,0.036,0.275067751,0.03,0.588520313,0.176,0.45981982,0.245739199,0.24,0.673,0.343,3/11/2004,02.00.00,0
0.05,0.495098039,0.015979815,0.027,0.253387534,0,0.635482669,0,0.445045045,0.198573127,0.231,0.679,0.337,3/11/2004,03.00.00,0
0,0.495588235,0.011774601,0.02,0.238030714,0.014,0.677599702,0.1,0.431351351,0.176377329,0.226,0.682,0.335,3/11/2004,04.00.00,0
0.059,0.52254902,0.006728343,0.017,0.231255646,0.011,0.714871413,0.082,0.425945946,0.167261197,0.247,0.634,0.33,3/11/2004,05.00.00,0
0.059,0.515686275,0.013456686,0.025,0.249774164,0.023,0.647782333,0.141,0.44,0.187078874,0.235,0.655,0.329,3/11/2004,06.00.00,0
0.092,0.560784314,0.024390244,0.05,0.301264679,0.066,0.55534849,0.241,0.482522523,0.28933809,0.229,0.672,0.333,3/11/2004,07.00.00,0
0.168,0.653431373,0.053826745,0.126,0.406504065,0.118,0.423406634,0.329,0.546666667,0.436781609,0.242,0.647,0.332,3/11/2004,08.00.00,0
0.185,0.662254902,0.073170732,0.149,0.433604336,0.087,0.402161759,0.297,0.57045045,0.407451447,0.235,0.683,0.345,3/11/2004,09.00.00,0
0.143,0.604411765,0.064760303,0.099,0.373532069,0.076,0.453969437,0.288,0.521081081,0.340864051,0.242,0.658,0.338,3/11/2004,10.00.00,0
0.126,0.577941176,0.036164844,0.078,0.344173442,0.064,0.494968319,0.271,0.490810811,0.26595323,0.235,0.653,0.329,3/11/2004,11.00.00,0
0.134,0.605882353,0.051303616,0.082,0.349593496,0.07,0.484904957,0.279,0.504864865,0.263178755,0.213,0.753,0.356,3/11/2004,12.00.00,0
0.16,0.630392157,0.052985702,0.115,0.392502258,0.099,0.433097279,0.329,0.553873874,0.316686484,0.186,0.861,0.376,3/11/2004,13.00.00,0
