CO(GT),C6H6(GT),NOx(GT),NO2(GT),Date,Time,PollutionLevel
0.168067227,0.147566719,0.06964165,0.270588235,3/10/2004,19.00.00,1
0.18487395,0.141287284,0.08857336,0.335294118,3/10/2004,20.00.00,2
0.18487395,0.144427002,0.116294794,0.358823529,3/10/2004,21.00.00,2
0.134453782,0.102040816,0.08857336,0.341176471,3/10/2004,22.00.00,2
0.100840336,0.073783359,0.060175794,0.282352941,3/10/2004,23.00.00,1
0.100840336,0.056514914,0.041920216,0.226470588,3/11/2004,00.00.00,1
0.075630252,0.03610675,0.030425963,0.176470588,3/11/2004,02.00.00,0
0.050420168,0.026687598,0,0,3/11/2004,03.00.00,0
0,0.020408163,0.014198783,0.1,3/11/2004,04.00.00,0
0.058823529,0.017268446,0.01081812,0.082352941,3/11/2004,05.00.00,0
0.058823529,0.025117739,0.022988506,0.141176471,3/11/2004,06.00.00,0
0.092436975,0.050235479,0.066260987,0.241176471,3/11/2004,07.00.00,1
0.18487395,0.149136578,0.087221095,0.297058824,3/11/2004,09.00.00,2
0.142857143,0.098901099,0.075726842,0.288235294,3/11/2004,10.00.00,1
0.243697479,0.180533752,0.139959432,0.376470588,3/11/2004,14.00.00,2
0.18487395,0.138147567,0.124408384,0.370588235,3/11/2004,15.00.00,2
0.403361345,0.326530612,0.189993239,0.444117647,3/11/2004,18.00.00,2
0.579831933,0.430141287,0.258958756,0.505882353,3/11/2004,19.00.00,2
0.512605042,0.376766091,0.237322515,0.485294118,3/11/2004,20.00.00,2
0.12605042,0.073783359,0.063556457,0.25,3/11/2004,22.00.00,1
0.084033613,0.040816327,0.031778229,0.155882353,3/11/2004,23.00.00,0
0.142857143,0.092621664,0.082488168,0.285294118,3/12/2004,00.00.00,1
0.159663866,0.100470958,0.089925625,0.323529412,3/12/2004,01.00.00,1
0.117647059,0.064364207,0.055442867,0.267647059,3/12/2004,02.00.00,1
0,0.017268446,0.014198783,0.094117647,3/12/2004,04.00.00,0
0.117647059,0.069073783,0.073698445,0.305882353,3/12/2004,07.00.00,1
0.369747899,0.28100471,0.207572684,0.414705882,3/12/2004,08.00.00,2
0,0.346938776,0,0,3/12/2004,09.00.00,2
0.176470588,0.160125589,0.096686951,0.332352941,3/12/2004,12.00.00,2
0.210084034,0.172684458,0.108181204,0.341176471,3/12/2004,13.00.00,2
0.226890756,0.200941915,0.110209601,0.361764706,3/12/2004,14.00.00,2
0.235294118,0.199372057,0.120351589,0.352941176,3/12/2004,16.00.00,2
0.294117647,0.224489796,0.171061528,0.408823529,3/12/2004,22.00.00,2
0.453781513,0.342229199,0.202839757,0.394117647,3/12/2004,23.00.00,2
0.226890756,0.150706436,0.130493577,0.332352941,3/13/2004,00.00.00,2
0.142857143,0.08477237,0,0,3/13/2004,03.00.00,1
0,0.09733124,0.073698445,0.244117647,3/13/2004,04.00.00,1
0.100840336,0.045525903,0.035835024,0.176470588,3/13/2004,06.00.00,0
0.12605042,0.080062794,0.093982421,0.226470588,3/13/2004,07.00.00,1
0.268907563,0.202511774,0.16903313,0.370588235,3/13/2004,10.00.00,2
0.344537815,0.252747253,0.200135227,0.464705882,3/13/2004,11.00.00,2
0.235294118,0.193092622,0.103448276,0.364705882,3/13/2004,13.00.00,2
0.168067227,0.135007849,0.079783638,0.3,3/13/2004,14.00.00,1
0.168067227,0.144427002,0.08045977,0.341176471,3/13/2004,15.00.00,2
0.210084034,0.160125589,0.093306288,0.364705882,3/13/2004,16.00.00,2
0.193277311,0.166405024,0.100067613,0.367647059,3/13/2004,17.00.00,2
0.352941176,0.307692308,0.187288709,0.485294118,3/13/2004,19.00.00,2
0.352941176,0.287284144,0.191345504,0.467647059,3/13/2004,21.00.00,2
0.218487395,0.1711146,0.116294794,0.382352941,3/13/2004,23.00.00,2
0.235294118,0.186813187,0.117647059,0.35,3/14/2004,01.00.00,2
0.210084034,0.135007849,0.086544963,0.305882353,3/14/2004,02.00.00,2
0.201680672,0.152276295,0,0,3/14/2004,03.00.00,2
0,0.081632653,0.047329277,0.241176471,3/14/2004,04.00.00,1
0.100840336,0.058084772,0.035835024,0.205882353,3/14/2004,05.00.00,0
0.084033613,0.039246468,0.029749831,0.185294118,3/14/2004,06.00.00,0
0.075630252,0.037676609,0.050033807,0.197058824,3/14/2004,07.00.00,0
0.117647059,0.065934066,0.068289385,0.247058824,3/14/2004,08.00.00,1
0.134453782,0.100470958,0.079783638,0.244117647,3/14/2004,09.00.00,1
0.18487395,0.135007849,0.097363083,0.288235294,3/14/2004,10.00.00,2
0.235294118,0.1711146,0.118999324,0.335294118,3/14/2004,11.00.00,2
0.235294118,0.167974882,0.108857336,0.35,3/14/2004,12.00.00,2
0.168067227,0.117739403,0.076402975,0.305882353,3/14/2004,13.00.00,1
0.151260504,0.117739403,0.06964165,0.3,3/14/2004,14.00.00,1
0.159663866,0.128728414,0.075726842,0.314705882,3/14/2004,15.00.00,1
0.25210084,0.186813187,0.114942529,0.379411765,3/14/2004,16.00.00,2
0.243697479,0.188383046,0.121703854,0.376470588,3/14/2004,17.00.00,2
0.386554622,0.323390895,0.176470588,0.461764706,3/14/2004,19.00.00,2
0.495798319,0.362637363,0.21974307,0.508823529,3/14/2004,20.00.00,2
0.285714286,0.230769231,0.146720757,0.429411765,3/14/2004,21.00.00,2
0.18487395,0.138147567,0.102772143,0.35,3/14/2004,23.00.00,2
0.151260504,0.116169545,0.070317782,0.291176471,3/15/2004,00.00.00,1
0.151260504,0.108320251,0.071670047,0.273529412,3/15/2004,01.00.00,1
0.092436975,0.069073783,0,0,3/15/2004,03.00.00,0
0,0.062794349,0.044624746,0.208823529,3/15/2004,04.00.00,0
0.084033613,0.06122449,0.059499662,0.217647059,3/15/2004,05.00.00,0
0.18487395,0.152276295,0.154158215,0.261764706,3/15/2004,07.00.00,2
0.462184874,0.406593407,0.243407708,0.335294118,3/15/2004,08.00.00,2
0.680672269,0.576138148,0.323191346,0.438235294,3/15/2004,09.00.00,2
0.487394958,0.417582418,0.266396214,0.461764706,3/15/2004,10.00.00,2
