CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Date,Time,PollutionLevel
0.218487395,0.186813187,0.112237999,0.332352941,0.304932735,0.551296505,0.339757956,3/10/2004,18.00.00,2
0.168067227,0.147566719,0.06964165,0.270588235,0.298206278,0.537767756,0.325414612,3/10/2004,19.00.00,1
0.18487395,0.141287284,0.08857336,0.335294118,0.266816143,0.608793687,0.33617212,3/10/2004,20.00.00,2
0.18487395,0.144427002,0.116294794,0.358823529,0.246636771,0.67643743,0.352756611,3/10/2004,21.00.00,2
0.134453782,0.102040816,0.08857336,0.341176471,0.251121076,0.671927847,0.35365307,3/10/2004,22.00.00,2
0.100840336,0.073783359,0.060175794,0.282352941,0.251121076,0.667418264,0.351860152,3/10/2004,23.00.00,1
0.100840336,0.056514914,0.041920216,0.226470588,0.253363229,0.640360767,0.340654415,3/11/2004,00.00.00,1
0.084033613,0.051805338,0.041920216,0.223529412,0.239910314,0.67643743,0.34513671,3/11/2004,01.00.00,1
0.075630252,0.03610675,0.030425963,0.176470588,0.239910314,0.673055242,0.342895563,3/11/2004,02.00.00,0
0.050420168,0.026687598,0,0,0.230941704,0.678692221,0.337068579,3/11/2004,03.00.00,0
0,0.020408163,0.014198783,0.1,0.226457399,0.682074408,0.334827432,3/11/2004,04.00.00,0
0.058823529,0.017268446,0.01081812,0.082352941,0.246636771,0.633596392,0.330345137,3/11/2004,05.00.00,0
0.058823529,0.025117739,0.022988506,0.141176471,0.235426009,0.655016911,0.329448678,3/11/2004,06.00.00,0
0.092436975,0.050235479,0.066260987,0.241176471,0.228699552,0.671927847,0.332586284,3/11/2004,07.00.00,1
0.168067227,0.125588697,0.117647059,0.329411765,0.242152466,0.647125141,0.332138055,3/11/2004,08.00.00,2
0.18487395,0.149136578,0.087221095,0.297058824,0.235426009,0.683201804,0.344688481,3/11/2004,09.00.00,2
0.142857143,0.098901099,0.075726842,0.288235294,0.242152466,0.658399098,0.338413268,3/11/2004,10.00.00,1
0.12605042,0.078492936,0.06423259,0.270588235,0.235426009,0.65276212,0.329448678,3/11/2004,11.00.00,1
0.134453782,0.081632653,0.070317782,0.279411765,0.213004484,0.753100338,0.356342447,3/11/2004,12.00.00,1
0.159663866,0.114599686,0.098715348,0.329411765,0.186098655,0.861330327,0.376064545,3/11/2004,13.00.00,2
0.243697479,0.180533752,0.139959432,0.376470588,0.179372197,0.914317926,0.391752577,3/11/2004,14.00.00,2
0.18487395,0.138147567,0.124408384,0.370588235,0.186098655,0.899661781,0.393545495,3/11/2004,15.00.00,2
0.18487395,0.130298273,0.130493577,0.385294118,0.217488789,0.80270575,0.384132676,3/11/2004,16.00.00,2
0.243697479,0.175824176,0.164300203,0.397058824,0.219730942,0.762119504,0.367099955,3/11/2004,17.00.00,2
0.403361345,0.326530612,0.189993239,0.444117647,0.230941704,0.72378805,0.361721201,3/11/2004,18.00.00,2
0.579831933,0.430141287,0.258958756,0.505882353,0.217488789,0.781285231,0.372926939,3/11/2004,19.00.00,2
0.512605042,0.376766091,0.237322515,0.485294118,0.215246637,0.764374295,0.364410578,3/11/2004,20.00.00,2
0.327731092,0.200941915,0.162271805,0.4,0.204035874,0.721533258,0.332586284,3/11/2004,21.00.00,2
0.12605042,0.073783359,0.063556457,0.25,0.183856502,0.714768884,0.30972658,3/11/2004,22.00.00,1
